district_id,state_fips,state_abbr,density_tier,seat_count,n_respondents,n_candidates,elected_0,elected_1,elected_2,elected_3,elected_4,elected_5,elected_6,elected_7,elected_8,elected_9
25-05,25,MA,SUBURBAN,5,36,11,PRG,CON,LBR,LIB,NAT,,,,,
26-01,26,MI,URBAN,9,292,15,CON,LIB,LBR,STY,DSA,CUP,NAT,OAO,POP,
26-02,26,MI,URBAN,9,376,15,CON,CON,NAT,LBR,POP,CON,DSA,LIB,PRG,
26-03,26,MI,URBAN,7,221,12,CON,PRG,NAT,LBR,POP,LIB,STY,,,
26-04,26,MI,SUBURBAN,7,298,13,CON,LIB,LBR,PRG,STY,CUP,NAT,,,
26-05,26,MI,SUBURBAN,7,201,14,NAT,CON,NAT,LBR,LIB,CON,POP,,,
26-06,26,MI,RURAL,7,25,14,CON,CON,CON,LBR,NAT,OAO,POP,,,
26-07,26,MI,RURAL,6,118,13,CON,NAT,CON,CUP,LBR,POP,,,,
27-01,27,MN,URBAN,9,368,14,PRG,LIB,LBR,PRG,OAO,CON,LIB,LBR,POP,
27-02,27,MN,URBAN,7,209,13,CON,LIB,NAT,POP,CON,LBR,LIB,,,
27-03,27,MN,SUBURBAN,7,206,13,CON,LIB,NAT,CON,LBR,POP,PRG,,,
27-04,27,MN,RURAL,7,28,14,LBR,OAO,CON,LBR,LIB,NAT,OAO,,,
28-01,28,MS,URBAN,5,108,12,STY,CON,LBR,NAT,STY,,,,,
28-02,28,MS,SUBURBAN,5,136,13,CON,NAT,LBR,POP,STY,,,,,
28-03,28,MS,RURAL,5,105,12,CON,OAO,STY,POP,LBR,,,,,
29-01,29,MO,URBAN,9,298,15,CON,DSA,STY,LIB,LBR,CON,DSA,NAT,POP,
29-02,29,MO,URBAN,7,262,12,CON,CON,POP,LBR,CUP,DSA,OAO,,,
29-03,29,MO,SUBURBAN,6,268,13,NAT,CON,STY,LBR,CON,LIB,,,,
29-04,29,MO,SUBURBAN,5,164,11,CON,LBR,CON,CUP,NAT,,,,,
29-05,29,MO,RURAL,5,55,12,CON,LBR,LIB,NAT,POP,,,,,
30-01,30,MT,SUBURBAN,6,185,13,NAT,CON,LIB,LBR,STY,CUP,,,,
31-01,31,NE,SUBURBAN,10,286,15,CON,LBR,CUP,NAT,CON,POP,LIB,DSA,STY,LBR
32-01,32,NV,URBAN,9,415,13,CON,LBR,CON,LIB,LBR,STY,POP,NAT,PRG,
32-02,32,NV,SUBURBAN,7,158,12,NAT,CON,LIB,DSA,CON,LBR,NAT,,,
33-01,33,NH,SUBURBAN,7,252,11,LBR,OAO,CON,POP,DSA,LIB,PRG,,,
34-01,34,NJ,URBAN,9,307,15,CON,LIB,PRG,STY,LBR,CON,LIB,DSA,NAT,
34-02,34,NJ,URBAN,9,267,14,CON,LBR,LIB,POP,LBR,CON,NAT,PRG,STY,
34-03,34,NJ,URBAN,9,312,14,LIB,CON,LIB,LBR,POP,NAT,CUP,DSA,OAO,
34-04,34,NJ,URBAN,7,185,12,CUP,CON,LBR,LIB,NAT,POP,PRG,,,
34-05,34,NJ,SUBURBAN,7,131,13,NAT,CON,LBR,OAO,DSA,NAT,PRG,,,
34-06,34,NJ,SUBURBAN,7,39,12,PRG,CON,PRG,CUP,LBR,NAT,STY,,,
35-01,35,NM,URBAN,6,183,12,LBR,CON,POP,LIB,LBR,CON,,,,
35-02,35,NM,SUBURBAN,5,126,12,CUP,CON,LBR,STY,NAT,,,,,
36-01,36,NY,URBAN,9,247,15,LBR,OAO,CUP,CON,POP,DSA,LBR,LIB,PRG,
36-02,36,NY,URBAN,9,187,15,LBR,NAT,CON,LIB,STY,LBR,CUP,OAO,POP,
36-03,36,NY,URBAN,9,409,15,LBR,CON,OAO,STY,LIB,DSA,LBR,CUP,POP,
36-04,36,NY,URBAN,9,336,15,CON,LIB,LBR,POP,CON,CUP,LIB,NAT,PRG,
36-05,36,NY,URBAN,9,226,15,PRG,CON,DSA,LBR,LIB,CON,OAO,PRG,STY,
36-06,36,NY,URBAN,9,428,14,LIB,NAT,CON,LBR,PRG,CON,POP,LIB,OAO,
36-07,36,NY,URBAN,7,73,14,OAO,CUP,CON,LBR,NAT,OAO,STY,,,
36-08,36,NY,URBAN,7,250,12,CON,LBR,LIB,CON,CUP,NAT,POP,,,
36-09,36,NY,SUBURBAN,7,233,14,LIB,LBR,CON,DSA,NAT,POP,PRG,,,
36-10,36,NY,SUBURBAN,7,131,12,CON,POP,PRG,LBR,LIB,CON,STY,,,
36-11,36,NY,SUBURBAN,7,14,14,LBR,CON,CUP,LBR,NAT,OAO,PRG,,,
36-12,36,NY,SUBURBAN,6,25,13,PRG,PRG,PRG,CUP,DSA,LIB,,,,
36-13,36,NY,RURAL,5,12,13,CON,CUP,LBR,NAT,PRG,,,,,
36-14,36,NY,RURAL,5,14,14,CON,CON,DSA,LBR,POP,,,,,
37-01,37,NC,URBAN,9,222,15,CON,CON,LBR,CUP,CON,NAT,LBR,LIB,STY,
37-02,37,NC,URBAN,9,282,16,PRG,NAT,PRG,LIB,CON,LBR,DSA,OAO,STY,
37-03,37,NC,URBAN,7,250,14,POP,NAT,CON,LBR,CON,OAO,STY,,,
37-04,37,NC,SUBURBAN,7,207,13,CON,POP,LIB,LBR,CON,OAO,STY,,,
37-05,37,NC,SUBURBAN,7,256,14,CON,CON,LBR,CON,LIB,NAT,STY,,,
37-06,37,NC,RURAL,5,69,13,CON,NAT,STY,CON,DSA,,,,,
37-07,37,NC,RURAL,5,141,11,CON,LIB,CON,POP,DSA,,,,,
37-08,37,NC,RURAL,5,17,13,CON,CON,CON,CUP,STY,,,,,
38-01,38,ND,SUBURBAN,4,90,10,CON,LBR,LIB,POP,,,,,,
39-01,39,OH,URBAN,9,296,14,CON,DSA,LIB,NAT,LBR,DSA,CON,OAO,STY,
39-02,39,OH,URBAN,9,331,13,LBR,CON,NAT,CON,LIB,LBR,DSA,STY,POP,
39-03,39,OH,URBAN,9,311,14,CON,CON,CUP,LBR,POP,LIB,CUP,CON,NAT,
39-04,39,OH,URBAN,7,282,14,CON,NAT,CON,LIB,CUP,LBR,POP,,,
39-05,39,OH,SUBURBAN,7,277,12,CON,LIB,NAT,LBR,CUP,POP,STY,,,
39-06,39,OH,SUBURBAN,7,266,13,CON,NAT,CUP,LIB,CON,LBR,STY,,,
39-07,39,OH,RURAL,7,195,13,CON,POP,CON,CUP,LBR,LIB,NAT,,,
39-08,39,OH,RURAL,6,20,12,CON,NAT,CON,LBR,LIB,POP,,,,
40-01,40,OK,URBAN,9,320,16,CON,LIB,NAT,CON,POP,LBR,CUP,LIB,STY,
40-02,40,OK,SUBURBAN,7,166,13,NAT,CON,NAT,CON,CUP,STY,DSA,,,
40-03,40,OK,RURAL,5,51,12,CON,CON,CON,DSA,POP,,,,,
41-01,41,OR,URBAN,9,373,16,PRG,DSA,LIB,LBR,CON,CUP,NAT,PRG,STY,
41-02,41,OR,URBAN,7,423,14,NAT,LIB,PRG,CON,LBR,POP,NAT,,,
41-03,41,OR,SUBURBAN,6,14,14,CON,DSA,LBR,LIB,POP,PRG,,,,
42-01,42,PA,URBAN,9,388,15,LBR,CON,LIB,PRG,LBR,STY,CON,LIB,NAT,
42-02,42,PA,URBAN,9,373,12,CON,NAT,LBR,LIB,PRG,CON,DSA,OAO,POP,
42-03,42,PA,URBAN,9,329,14,LIB,CON,POP,NAT,LBR,CON,CUP,LIB,OAO,
42-04,42,PA,URBAN,7,97,13,CON,LIB,LBR,CON,DSA,OAO,PRG,,,
42-05,42,PA,SUBURBAN,7,278,12,LIB,LBR,CON,NAT,CUP,PRG,STY,,,
42-06,42,PA,SUBURBAN,7,330,12,CON,LIB,NAT,PRG,LBR,CON,POP,,,
42-07,42,PA,SUBURBAN,7,297,13,CON,CON,LBR,LIB,POP,CON,CUP,,,
42-08,42,PA,RURAL,7,322,13,CON,CON,LBR,POP,CUP,LIB,NAT,,,
42-09,42,PA,RURAL,6,2418,12,CON,LIB,LBR,CON,NAT,POP,,,,
44-01,44,RI,URBAN,6,176,12,LIB,CON,LBR,POP,CUP,PRG,,,,
45-01,45,SC,URBAN,9,282,15,CON,CON,LIB,LBR,NAT,CUP,POP,DSA,STY,
45-02,45,SC,SUBURBAN,7,246,13,CON,NAT,CON,LBR,DSA,STY,CUP,,,
45-03,45,SC,RURAL,6,11,12,DSA,CON,DSA,LBR,NAT,POP,,,,
45-04,45,SC,RURAL,5,197,12,CON,POP,NAT,LBR,STY,,,,,
46-01,46,SD,SUBURBAN,5,137,11,CON,CUP,LBR,NAT,STY,,,,,
47-01,47,TN,URBAN,9,252,14,CON,CON,OAO,NAT,STY,CON,LBR,LIB,PRG,
47-02,47,TN,URBAN,7,213,13,CON,CUP,DSA,CON,NAT,LBR,STY,,,
47-03,47,TN,SUBURBAN,7,318,13,NAT,CON,NAT,CON,CON,LIB,STY,,,
47-04,47,TN,SUBURBAN,7,269,14,CON,CON,POP,LBR,CON,CUP,NAT,,,
47-05,47,TN,RURAL,6,13,13,CON,CUP,CON,LBR,NAT,POP,,,,
48-01,48,TX,URBAN,9,469,14,CON,STY,LBR,DSA,LIB,STY,CON,CUP,NAT,
48-02,48,TX,URBAN,9,256,15,CON,CON,CON,LBR,CUP,STY,LIB,LBR,NAT,
48-03,48,TX,URBAN,9,270,15,LBR,CON,LBR,STY,DSA,CUP,LIB,NAT,OAO,
48-04,48,TX,URBAN,9,276,15,LBR,CON,NAT,LBR,LIB,CUP,CON,LBR,STY,
48-05,48,TX,URBAN,9,291,16,CON,NAT,CON,LIB,LBR,CUP,DSA,POP,STY,
48-06,48,TX,URBAN,9,234,16,CON,CON,NAT,DSA,LIB,CON,POP,LBR,STY,
48-07,48,TX,URBAN,9,353,16,CON,CON,NAT,CUP,LIB,LBR,CON,DSA,POP,
48-08,48,TX,URBAN,9,264,17,CON,NAT,STY,LIB,CON,LBR,CUP,DSA,NAT,
48-09,48,TX,URBAN,7,214,14,CON,LBR,CON,CUP,NAT,POP,STY,,,
48-10,48,TX,URBAN,7,162,14,LBR,CUP,CON,STY,DSA,LIB,OAO,,,
48-11,48,TX,URBAN,7,115,13,LIB,CON,STY,CUP,LIB,OAO,POP,,,
48-12,48,TX,SUBURBAN,7,171,15,OAO,CON,CUP,POP,STY,LBR,NAT,,,
48-13,48,TX,SUBURBAN,7,147,15,NAT,CON,LBR,CON,LIB,POP,STY,,,
48-14,48,TX,SUBURBAN,7,161,14,CON,CON,CUP,LBR,CON,NAT,POP,,,
48-15,48,TX,SUBURBAN,7,5,13,LBR,CON,LBR,NAT,POP,PRG,STY,,,
48-16,48,TX,SUBURBAN,7,3392,13,CON,LBR,CUP,CON,STY,LIB,NAT,,,
48-17,48,TX,SUBURBAN,7,3392,13,CON,LBR,CUP,CON,STY,LIB,NAT,,,
48-18,48,TX,RURAL,7,3392,13,CON,LBR,CUP,CON,STY,LIB,NAT,,,
48-19,48,TX,RURAL,5,3392,12,CON,LBR,STY,CUP,NAT,,,,,
48-20,48,TX,RURAL,5,3392,12,CON,LBR,STY,CUP,NAT,,,,,
49-01,49,UT,URBAN,7,218,12,LBR,DSA,CON,LIB,CUP,LBR,POP,,,
49-02,49,UT,URBAN,5,169,12,CON,NAT,LBR,POP,STY,,,,,
49-03,49,UT,SUBURBAN,5,387,12,CON,LBR,STY,LIB,POP,,,,,
50-01,50,VT,RURAL,3,105,10,PRG,CON,LBR,,,,,,,
51-01,51,VA,URBAN,9,250,16,LBR,PRG,LIB,NAT,CON,LBR,CUP,STY,PRG,
51-02,51,VA,URBAN,9,375,14,CON,LBR,CON,PRG,LIB,NAT,POP,LBR,CON,
51-03,51,VA,URBAN,7,308,12,CON,NAT,LIB,LBR,CUP,POP,PRG,,,
51-04,51,VA,SUBURBAN,7,26,14,STY,CON,LIB,NAT,OAO,POP,STY,,,
51-05,51,VA,SUBURBAN,7,266,13,CON,LBR,POP,LIB,LBR,CON,NAT,,,
51-06,51,VA,RURAL,6,9,13,CON,CON,CUP,NAT,OAO,STY,,,,
53-01,53,WA,URBAN,9,291,16,LIB,PRG,LBR,DSA,STY,LIB,NAT,CUP,OAO,
53-02,53,WA,URBAN,9,275,15,LBR,DSA,NAT,CON,LIB,POP,LBR,OAO,STY,
53-03,53,WA,URBAN,7,217,13,PRG,NAT,CUP,LIB,LBR,CON,PRG,,,
53-04,53,WA,SUBURBAN,5,191,11,CON,LIB,CON,DSA,LBR,,,,,
53-05,53,WA,SUBURBAN,5,115,11,CON,LIB,LBR,STY,POP,,,,,
53-06,53,WA,RURAL,5,23,12,CON,CON,LBR,OAO,POP,,,,,
54-01,54,WV,SUBURBAN,9,335,16,CON,LBR,NAT,CON,CUP,STY,POP,LIB,OAO,
55-01,55,WI,URBAN,9,335,16,CON,LIB,NAT,POP,CON,LBR,CUP,OAO,PRG,
55-02,55,WI,URBAN,7,319,12,CON,LBR,PRG,LIB,CON,DSA,POP,,,
55-03,55,WI,SUBURBAN,5,191,13,CON,STY,CON,LBR,NAT,,,,,
55-04,55,WI,SUBURBAN,5,224,12,CON,LBR,LIB,CON,POP,,,,,
55-05,55,WI,RURAL,5,19,12,CON,LBR,LIB,NAT,POP,,,,,
56-01,56,WY,SUBURBAN,3,70,10,CON,POP,CUP,,,,,,,
