state_fips,state_abbr,senator_code,senator_label,senator_party,senator_type,primary_cluster,secondary_cluster,total_weighted_respondents,n_candidates_in_race,n_finalists,finalist_CON_1_pct,finalist_CON_2_pct,finalist_CUP_1_pct,finalist_NAT_1_pct,finalist_STY_1_pct,finalist_LBR_1_pct,finalist_LIB_1_pct,finalist_POP_1_pct,finalist_PRG_1_pct,finalist_OAO_1_pct,finalist_LIB_2_pct,finalist_LBR_2_pct,finalist_DSA_1_pct,finalist_PRG_2_pct
28,MS,STY_1,STY_1,STY,pure,2,,246.91,19,5,36.4658,,,,19.5821,20.6392,,10.1575,,13.1555,,,,
29,MO,CON_1,CON_1,CON,pure,0,,570.3,21,5,30.4505,,,13.5454,18.4785,22.4767,15.049,,,,,,,
30,MT,CON_1,CON_1,CON,pure,0,,161.14,22,5,20.9685,,10.4118,24.6547,,22.5494,21.4157,,,,,,,
31,NE,LBR_1,LBR_1,LBR,pure,1,,175.62,22,5,27.9926,,13.405,,,26.712,14.8185,17.0719,,,,,,
32,NV,LBR_1,LBR_1,LBR,pure,1,,430.65,21,5,32.0302,,,,10.173,20.7561,22.2539,14.7868,,,,,,
33,NH,LBR_1,LBR_1,LBR,pure,1,,167.18,22,5,21.9033,,13.4569,,,35.9816,,,14.7025,13.9558,,,,
34,NJ,LBR_1,LBR_1,LBR,pure,1,,731.46,22,5,26.1679,,11.4853,11.9593,,22.7264,27.6611,,,,,,,
35,NM,LBR_1,LBR_1,LBR,pure,1,,245.1,21,5,28.6123,,14.9813,,10.494,26.3198,19.5926,,,,,,,
36,NY,LBR_1,LBR_1,LBR,pure,1,,1427.32,23,5,22.9034,,,,,27.1615,23.2914,16.4185,,10.2252,,,,
37,NC,CON_1,CON_1,CON,pure,0,,894.12,23,5,29.4207,,,13.2028,,22.8852,20.291,14.2002,,,,,,
38,ND,CON_1,CON_1,CON,pure,0,,67.51,22,5,30.3847,,15.2539,,,21.5455,18.1279,14.6879,,,,,,
39,OH,CON_1,CON_1,CON,pure,0,,1052.5,22,5,36.9752,,12.5112,,,20.6005,16.3013,13.6119,,,,,,
40,OK,CON_1,CON_1,CON,pure,0,,370.99,23,5,25.3876,,15.6909,18.8335,,28.8777,,11.2104,,,,,,
41,OR,LIB_1,LIB_1,LIB,pure,4,,566.03,23,5,22.11,,,17.3527,,24.1281,18.2166,,18.1926,,,,,
42,PA,CON_1,CON_1,CON,pure,0,,1382.94,22,5,28.2852,,,10.7873,,23.4601,27.2849,10.1825,,,,,,
44,RI,LBR_1,LBR_1,LBR,pure,1,,102.59,24,5,26.8888,,,,,25.48,21.7413,14.2999,11.5901,,,,,
45,SC,CON_1,CON_1,CON,pure,0,,439.73,21,5,29.1792,,,14.5003,,29.3749,14.0936,12.852,,,,,,
46,SD,CON_1,CON_1,CON,pure,0,,84.77,22,5,20.8079,,19.9781,15.6991,15.4235,28.0913,,,,,,,,
47,TN,CON_1,CON_1,CON,pure,0,,702.26,20,5,39.1235,0.0,15.2018,19.3766,,26.2981,,,,,,,,
48,TX,CON_1,CON_1,CON,pure,0,,2081.81,22,5,25.7067,,16.1468,11.6767,17.5221,28.9477,,,,,,,,
49,UT,LBR_1,LBR_1,LBR,pure,1,,270.53,22,5,27.144,,11.2083,,,30.0126,,17.465,,,,,14.1702,
50,VT,LBR_1,LBR_1,LBR,pure,1,,72.45,23,5,31.4145,,,,,21.2838,15.6994,,31.6022,,,,,0.0
51,VA,LBR_1,LBR_1,LBR,pure,1,,824.16,22,5,27.6658,,,12.7468,13.6609,23.2309,22.6956,,,,,,,
53,WA,LIB_1,LIB_1,LIB,pure,4,,775.96,22,5,22.5085,,,,,28.2773,18.2105,16.9186,14.085,,,,,
54,WV,CON_1,CON_1,CON,pure,0,,209.24,21,5,26.925,,18.9223,12.3592,18.1894,23.6041,,,,,,,,
55,WI,LBR_1,LBR_1,LBR,pure,1,,604.99,22,5,35.7789,0.0,,,,24.4091,22.4272,17.3848,,,,,,
56,WY,POP_1,POP_1,POP,pure,5,,60.58,21,5,41.3846,0.0,12.1528,,,,22.1421,24.3206,,,,,,
