state_fips,state_abbr,finalist_code,finalist_party,first_choice_pct,inc_CON,inc_OAO,inc_CUP,inc_LIB,inc_POP,inc_DSA,inc_LBR,inc_NAT,inc_PRG
29,MO,CON_1,CON,24.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.59,0.0
29,MO,CUP_1,CUP,7.52,3.01,1.77,0.0,2.95,1.65,0.0,0.0,0.0,0.0
29,MO,LBR_1,LBR,16.26,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,MO,LIB_1,LIB,8.89,0.0,0.9,0.0,0.0,0.0,6.57,0.0,0.0,2.95
29,MO,POP_1,POP,11.81,3.93,0.0,0.0,0.0,0.0,3.56,0.0,1.86,0.0
30,MT,CON_1,CON,16.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,MT,CUP_1,CUP,8.44,0.0,0.0,0.0,4.76,15.27,0.0,0.0,1.98,0.0
30,MT,LBR_1,LBR,14.9,0.0,0.0,0.0,0.0,0.0,4.51,0.0,0.0,0.0
30,MT,LIB_1,LIB,15.46,0.0,0.99,0.0,0.0,0.0,0.0,0.73,0.0,4.93
30,MT,NAT_1,NAT,24.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,NE,CON_1,CON,19.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.68,0.0
31,NE,CUP_1,CUP,12.65,0.84,1.28,0.0,2.73,1.87,0.0,0.0,0.0,0.0
31,NE,LBR_1,LBR,17.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,NE,LIB_1,LIB,8.07,0.0,1.35,0.0,0.0,0.0,7.67,0.0,0.0,2.8
31,NE,POP_1,POP,12.61,1.17,1.86,0.0,0.0,0.0,3.55,0.0,4.58,0.0
32,NV,CON_1,CON,21.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.22,0.0
32,NV,LBR_1,LBR,20.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,NV,LIB_1,LIB,11.33,0.0,0.0,2.06,0.0,0.0,4.86,0.6,0.0,0.0
32,NV,OAO_1,OAO,5.24,0.76,0.0,3.13,0.71,0.0,0.0,0.0,0.0,9.2
32,NV,POP_1,POP,12.35,3.14,0.0,0.0,0.0,0.0,0.0,1.53,6.06,0.0
33,NH,CON_1,CON,12.42,0.0,0.0,0.0,0.0,2.69,0.0,0.0,7.27,0.0
33,NH,CUP_1,CUP,8.0,3.04,0.0,0.0,4.06,4.39,0.0,0.0,0.0,0.0
33,NH,LBR_1,LBR,17.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,NH,OAO_1,OAO,13.53,2.04,0.0,2.03,0.0,0.0,0.0,0.0,0.0,0.0
33,NH,PRG_1,PRG,12.24,0.0,0.0,0.0,4.01,0.0,14.21,0.0,0.0,0.0
34,NJ,CON_1,CON,18.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,NJ,CUP_1,CUP,7.59,0.0,3.1,0.0,2.09,6.19,0.0,0.0,1.42,0.0
34,NJ,LBR_1,LBR,14.6,0.0,0.0,0.0,0.0,0.0,5.66,0.0,0.0,0.63
34,NJ,LIB_1,LIB,14.75,0.0,3.22,0.0,0.0,0.0,0.0,1.46,0.0,10.09
34,NJ,POP_1,POP,9.73,0.87,1.22,0.0,0.0,0.0,0.0,1.28,9.76,0.0
35,NM,CON_1,CON,18.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,NM,LBR_1,LBR,26.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,NM,LBR_2,LBR,0.0,0.0,0.51,14.87,1.87,0.0,4.26,9.79,0.0,0.0
35,NM,LIB_1,LIB,10.31,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,7.94
35,NM,POP_1,POP,8.79,0.73,0.0,0.0,0.0,0.0,0.0,0.0,7.75,0.0
36,NY,CON_1,CON,16.2,0.0,0.0,1.41,0.0,0.91,0.0,0.0,0.0,0.0
36,NY,LBR_1,LBR,17.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58
36,NY,LIB_1,LIB,13.02,0.0,0.0,1.66,0.0,0.0,2.93,0.0,0.0,9.31
36,NY,OAO_1,OAO,9.23,1.09,0.0,1.27,0.0,0.0,0.0,0.0,9.64,0.0
36,NY,POP_1,POP,10.9,0.0,0.0,3.29,0.0,0.0,3.56,0.0,0.0,0.0
37,NC,CON_1,CON,23.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.58,0.0
37,NC,CUP_1,CUP,7.18,1.63,5.17,0.0,1.6,1.83,0.0,0.0,0.0,0.0
37,NC,LBR_1,LBR,13.99,0.0,0.0,0.0,0.0,0.0,5.11,0.0,0.0,0.0
37,NC,LIB_1,LIB,9.23,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,8.4
37,NC,POP_1,POP,11.67,3.63,3.37,0.0,0.0,0.0,0.0,1.1,3.56,0.0
38,ND,CON_1,CON,24.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,ND,CUP_1,CUP,13.13,3.9,2.12,0.0,2.09,0.0,0.0,0.0,0.0,0.0
38,ND,LBR_1,LBR,18.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,ND,LIB_1,LIB,9.78,0.0,2.69,0.0,0.0,0.0,2.43,0.0,0.0,5.5
38,ND,POP_1,POP,14.85,9.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,OH,CON_1,CON,24.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.42,0.0
39,OH,CUP_1,CUP,9.67,3.84,2.63,0.0,0.67,0.88,0.0,0.0,0.0,0.0
39,OH,LBR_1,LBR,13.66,0.0,1.06,0.0,0.0,0.0,5.87,0.0,0.0,0.0
39,OH,LIB_1,LIB,10.5,0.0,0.95,0.0,0.0,0.0,1.25,1.26,0.0,3.49
39,OH,POP_1,POP,12.11,3.97,0.0,0.0,0.0,0.0,0.0,1.9,1.65,0.0
40,OK,CON_1,CON,24.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,OK,CUP_1,CUP,10.03,4.67,3.95,0.0,1.71,0.0,0.0,0.0,0.0,0.0
40,OK,LBR_1,LBR,10.93,0.0,0.0,0.0,11.83,0.0,5.97,0.0,0.0,0.0
40,OK,NAT_1,NAT,18.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,OK,POP_1,POP,11.36,5.29,0.0,1.46,0.0,0.0,0.0,0.0,0.0,0.0
41,OR,CON_1,CON,12.58,0.0,0.68,3.01,0.0,5.99,0.0,0.0,0.0,0.0
41,OR,LBR_1,LBR,13.18,3.07,0.0,1.84,0.0,1.2,8.13,0.0,0.0,0.0
41,OR,LIB_1,LIB,15.9,0.0,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,OR,NAT_1,NAT,15.9,2.34,0.0,0.0,0.0,1.43,0.0,0.72,0.0,0.0
41,OR,PRG_1,PRG,16.79,0.0,0.0,0.0,0.0,0.0,1.21,0.0,0.0,0.0
42,PA,CON_1,CON,22.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,PA,LBR_1,LBR,15.62,0.0,0.0,0.0,0.0,0.0,5.45,0.0,0.0,0.0
42,PA,LIB_1,LIB,14.86,0.0,0.0,0.86,0.0,0.0,0.0,1.48,0.0,9.52
42,PA,NAT_1,NAT,10.74,0.0,6.71,0.0,0.0,0.62,0.0,0.0,0.0,0.0
42,PA,POP_1,POP,8.52,3.12,0.0,4.36,0.0,0.0,0.0,2.31,0.0,0.0
44,RI,CON_1,CON,16.91,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
44,RI,LBR_1,LBR,17.04,0.0,0.0,2.92,0.0,0.0,0.0,0.0,0.0,0.0
44,RI,LIB_1,LIB,17.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,RI,POP_1,POP,11.83,0.0,0.0,0.0,0.0,0.0,0.0,1.67,6.77,0.0
44,RI,PRG_1,PRG,11.06,0.0,14.4,0.0,0.0,0.0,3.86,0.0,0.0,0.0
45,SC,CON_1,CON,24.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,SC,LBR_1,LBR,18.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,SC,LIB_1,LIB,9.19,0.0,0.65,0.0,0.0,0.56,5.26,0.0,0.0,1.4
45,SC,NAT_1,NAT,14.41,0.98,0.0,15.96,0.0,1.09,0.0,0.0,0.0,0.0
45,SC,POP_1,POP,10.58,4.91,0.0,0.0,0.0,0.0,4.87,0.61,0.0,0.0
46,SD,CON_1,CON,19.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,SD,CUP_1,CUP,11.92,0.73,5.02,0.0,1.96,0.0,0.0,0.0,0.0,0.0
46,SD,LBR_1,LBR,10.66,0.0,0.74,0.0,13.02,0.0,6.16,0.0,0.0,0.0
46,SD,NAT_1,NAT,15.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,SD,POP_1,POP,14.99,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,TN,CON_1,CON,31.28,0.0,0.0,0.0,0.0,5.84,0.0,0.0,0.0,0.0
47,TN,CON_2,CON,0.0,14.48,1.98,0.0,0.0,0.0,0.0,0.0,1.93,0.0
47,TN,CUP_1,CUP,7.88,0.71,4.22,0.0,8.44,1.66,0.0,0.0,0.0,0.0
47,TN,LBR_1,LBR,9.99,0.0,0.0,0.0,0.0,2.47,6.57,0.0,0.0,0.0
47,TN,NAT_1,NAT,18.8,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
48,TX,CON_1,CON,23.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.31,0.0
48,TX,CUP_1,CUP,10.33,3.13,4.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,TX,LBR_1,LBR,18.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,TX,LIB_1,LIB,8.75,0.0,0.65,0.0,0.0,2.44,4.0,0.0,0.0,1.91
48,TX,POP_1,POP,10.34,4.46,0.0,0.8,0.0,0.0,4.84,0.97,1.94,0.0
49,UT,CON_1,CON,17.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,UT,CUP_1,CUP,8.67,0.0,1.74,0.0,0.0,7.96,0.0,1.95,2.84,0.0
49,UT,LBR_1,LBR,23.0,0.0,0.0,0.0,0.0,0.0,8.82,0.0,0.0,0.0
49,UT,LIB_1,LIB,7.78,0.0,0.0,6.17,0.0,0.0,2.54,3.54,0.0,2.03
49,UT,POP_1,POP,14.49,0.0,0.0,0.0,0.0,0.0,0.0,1.79,8.77,0.0
50,VT,CON_1,CON,11.92,0.0,0.0,2.18,0.0,0.0,0.0,0.0,5.18,0.0
50,VT,LBR_1,LBR,12.46,0.0,0.0,2.38,0.0,0.0,4.78,0.0,0.0,0.0
50,VT,LIB_1,LIB,14.27,0.0,0.0,0.0,0.0,0.97,0.0,0.58,0.0,13.45
50,VT,OAO_1,OAO,9.73,0.0,0.0,0.0,0.0,6.72,0.0,0.0,0.0,0.0
50,VT,PRG_1,PRG,31.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,VA,CON_1,CON,20.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,VA,LBR_1,LBR,18.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32
51,VA,LIB_1,LIB,10.67,0.0,1.07,2.28,0.0,4.81,2.43,0.0,0.0,10.32
51,VA,NAT_1,NAT,12.47,0.0,0.0,0.0,0.95,2.94,0.0,0.0,0.0,0.0
51,VA,POP_1,POP,10.03,1.65,1.53,8.59,0.0,0.0,2.15,0.59,0.0,0.0
53,WA,CON_1,CON,13.94,0.0,6.08,0.84,0.0,0.0,0.0,0.0,3.48,0.0
53,WA,LBR_1,LBR,15.13,0.0,0.0,2.63,0.0,0.0,0.0,0.0,0.0,0.0
53,WA,LIB_1,LIB,14.42,0.0,2.73,1.11,0.0,0.0,0.0,0.0,0.0,0.0
53,WA,POP_1,POP,8.12,3.66,0.0,1.44,0.8,0.0,5.65,0.0,7.46,0.0
53,WA,PRG_1,PRG,13.48,0.0,0.0,0.0,0.8,1.13,4.1,0.0,0.0,0.0
54,WV,CON_1,CON,22.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,WV,CUP_1,CUP,11.6,1.73,0.0,0.0,9.89,0.0,0.0,0.0,0.0,0.0
54,WV,LBR_1,LBR,18.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,WV,OAO_1,OAO,8.4,1.77,0.0,6.33,0.0,0.0,0.0,0.0,14.8,0.0
54,WV,POP_1,POP,13.43,0.0,0.0,0.0,0.0,0.0,4.25,0.78,0.0,0.0
55,WI,CON_1,CON,23.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.53,0.0
55,WI,CON_2,CON,0.0,6.48,5.84,1.53,0.77,6.12,0.0,0.0,0.0,0.0
55,WI,LBR_1,LBR,13.78,0.0,0.0,0.0,0.0,0.0,5.41,0.0,0.0,0.0
55,WI,LIB_1,LIB,10.99,0.0,1.84,0.86,0.0,0.0,0.0,0.78,0.0,9.48
55,WI,POP_1,POP,12.2,0.0,0.0,3.21,6.55,0.0,0.0,1.13,4.24,0.0
56,WY,CON_1,CON,30.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,WY,CON_2,CON,0.0,11.85,0.0,0.0,0.0,0.0,0.0,0.0,10.3,0.0
56,WY,CUP_1,CUP,7.98,3.83,2.4,0.0,0.0,0.92,0.0,5.28,0.0,0.0
56,WY,LIB_1,LIB,13.44,0.0,0.87,0.0,0.0,0.0,0.0,8.85,0.0,1.62
56,WY,POP_1,POP,19.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
