state_fips,state_abbr,senator_code,senator_label,senator_party,senator_type,primary_cluster,secondary_cluster,total_weighted_respondents,n_candidates_in_race,n_finalists,finalist_CON_1_pct,finalist_CON_2_pct,finalist_CUP_1_pct,finalist_NAT_1_pct,finalist_STY_1_pct,finalist_LBR_1_pct,finalist_LIB_1_pct,finalist_POP_1_pct,finalist_LIB_2_pct,finalist_PRG_1_pct,finalist_LBR_2_pct,finalist_OAO_1_pct
22,LA,CON_1,CON_1,CON,pure,0,,314.11,19,5,25.7706,,18.3619,17.2737,14.647,23.9468,,,,,,
23,ME,LBR_1,LBR_1,LBR,pure,1,,158.09,24,5,24.5083,,,,,22.046,23.661,19.4977,,10.287,,
24,MD,LBR_1,LBR_1,LBR,pure,1,,496.49,22,5,25.3749,,,,8.853,25.781,26.6167,13.3744,,,,
25,MA,LBR_1,LBR_1,LBR,pure,1,,517.85,23,5,28.553,,,,,27.4908,19.3611,11.4071,,13.1881,,
26,MI,POP_1,POP_1,POP,pure,5,,861.93,20,5,35.3257,,8.3527,,,21.2151,20.4104,14.6961,,,,
27,MN,LBR_1,LBR_1,LBR,pure,1,,474.38,23,5,26.9349,,,,,17.9799,20.6409,19.3826,,15.0617,,
28,MS,STY_1,STY_1,STY,pure,2,,257.3,19,5,35.9278,,,,20.4685,20.4793,,10.1517,,,,12.9728
29,MO,STY_1,STY_1,STY,pure,2,,590.32,21,5,39.7358,,10.2409,,14.771,21.024,14.2283,,,,,
30,MT,CON_1,CON_1,CON,pure,0,,166.21,22,5,23.8696,,,24.3124,12.7682,17.863,21.1868,,,,,
31,NE,LBR_1,LBR_1,LBR,pure,1,,181.96,22,5,27.7092,,13.5655,,,26.9628,14.5537,17.2089,,,,
32,NV,STY_1,STY_1,STY,pure,2,,445.23,21,5,31.8331,,,,10.6574,20.8517,21.8906,14.7671,,,,
33,NH,LBR_1,LBR_1,LBR,pure,1,,172.32,22,5,21.8139,,13.6867,,,36.1326,,,,14.4568,,13.91
34,NJ,LBR_1,LBR_1,LBR,pure,1,,754.13,22,5,24.8575,,10.3274,,,22.1469,27.2437,15.4244,,,,
35,NM,LBR_1,LBR_1,LBR,pure,1,,254.05,21,5,28.3299,,15.1134,,10.9912,26.3691,19.1964,,,,,
36,NY,LBR_1,LBR_1,LBR,pure,1,,1474.01,23,5,22.7904,,,,,27.4601,22.895,16.6607,,,,10.1939
37,NC,POP_1,POP_1,POP,pure,5,,923.66,23,5,34.7392,,9.9215,,,21.1478,18.941,15.2505,,,,
38,ND,CUP_1,CUP_1,CUP,pure,6,,69.85,22,5,30.1464,,15.4381,,,21.7548,17.8147,14.846,,,,
39,OH,CON_1,CON_1,CON,pure,0,,1088.0,22,5,36.6612,,12.6386,,,20.8357,16.0177,13.8469,,,,
40,OK,CON_1,CON_1,CON,pure,0,,383.37,23,5,25.2611,,15.8154,18.5319,,28.9537,,11.438,,,,
41,OR,LBR_1,LBR_1,LBR,pure,1,,581.6,23,5,22.3108,,,17.2081,,24.5051,18.0432,,,17.9327,,
42,PA,LBR_1,LBR_1,LBR,pure,1,,1425.4,22,5,30.86,,,,,22.3103,24.6237,14.8704,,,,7.3357
44,RI,LBR_1,LBR_1,LBR,pure,1,,105.79,24,5,26.7906,,,,7.2405,23.8003,31.737,10.4317,,,,
45,SC,STY_1,STY_1,STY,pure,2,,455.02,21,5,28.8947,,,14.2487,11.9113,33.9319,,11.0134,,,,
46,SD,STY_1,STY_1,STY,pure,2,,87.75,22,5,20.6674,,20.0993,15.4203,15.9557,27.8573,,,,,,
47,TN,CON_1,CON_1,CON,pure,0,,725.47,20,5,34.4665,0.0,17.7425,18.6825,29.1084,,,,,,,
48,TX,STY_1,STY_1,STY,pure,2,,2159.35,22,5,25.5027,,16.188,11.4493,18.1289,28.731,,,,,,
49,UT,STY_1,STY_1,STY,pure,2,,280.61,22,5,31.0618,,,,14.4228,26.4554,12.5886,15.4713,,,,
50,VT,LBR_1,LBR_1,LBR,pure,1,,74.3,23,5,23.2126,,,,,21.713,14.1386,,,31.162,,9.7738
51,VA,STY_1,STY_1,STY,pure,2,,850.61,22,5,36.0104,,9.0537,,11.4431,21.7068,21.786,,,,,
53,WA,LBR_1,LBR_1,LBR,pure,1,,799.43,22,5,22.4769,,,,,28.6433,18.0259,17.0181,,13.8359,,
54,WV,STY_1,STY_1,STY,pure,2,,217.18,21,5,38.1893,,15.331,,15.2312,23.4298,,7.8187,,,,
55,WI,STY_1,STY_1,STY,pure,2,,624.17,22,5,35.2702,,,,7.2741,22.0835,21.9499,13.4222,,,,
56,WY,CON_1,CON_1,CON,pure,0,,62.57,21,5,41.0883,0.0,12.3064,,,,21.893,24.7124,,,,
