variable,domain,type,stat_label,question,overall,CON/CTR,CON/SD,CON/STY,SD/STY,SD/CON,SD/DSA,SD/CTR,SD/LIB,STY/REF,STY/SD,STY/CON,REF/STY
CC24_303,Taxes & Economy,ordinal,Weighted mean,Price change past year (1=Increased a lot … 5=Decreased a lot),1.6116,1.4046,1.5495,1.5012,1.8001,1.5873,1.7957,1.6816,1.9263,1.5824,1.7858,1.5732,1.5175
CC24_303,Taxes & Economy,ordinal_dist,% Increased a lot,Price change past year (1=Increased a lot … 5=Decreased a lot),55.11,67.9421,58.7038,63.7068,42.9496,56.1218,41.435,48.825,33.335,59.879,44.605,59.4923,64.0479
CC24_303,Taxes & Economy,ordinal_dist,% Increased somewhat,Price change past year (1=Increased a lot … 5=Decreased a lot),32.57,25.5536,31.0062,26.1034,39.5646,32.6349,42.08,37.735,46.855,27.168,37.82,28.0452,24.9658
CC24_303,Taxes & Economy,ordinal_dist,% Stayed same,Price change past year (1=Increased a lot … 5=Decreased a lot),8.87,5.0683,7.2608,7.338,12.5854,7.9505,12.115,10.265,13.845,9.057,12.71,9.0438,7.438
CC24_303,Taxes & Economy,ordinal_dist,% Decreased somewhat,Price change past year (1=Increased a lot … 5=Decreased a lot),2.95,0.9959,2.7039,2.0806,4.3322,2.9818,4.205,2.82,5.77,2.6305,4.12,2.4993,2.2846
CC24_303,Taxes & Economy,ordinal_dist,% Decreased a lot,Price change past year (1=Increased a lot … 5=Decreased a lot),0.5,0.4439,0.3254,0.7712,0.5682,0.311,0.16,0.36,0.195,1.2655,0.745,0.9194,1.2637
CC24_323a,Immigration,binary,% Supporting,Grant legal status to long-term undocumented immigrants,59.2294,41.4389,53.6102,49.0753,80.1875,57.5621,91.0399,71.3408,90.5093,46.8601,78.9058,56.8065,35.4949
CC24_323b,Immigration,binary,% Supporting,Increase border patrols,79.5714,97.1164,87.3469,84.922,69.7766,85.2954,45.2888,82.7205,73.7853,75.7437,68.5258,78.9479,80.1431
CC24_323d,Immigration,binary,% Supporting,Permanent status/pathway for Dreamers,70.4041,60.2692,73.2205,67.1478,94.5035,76.6377,99.1922,85.333,99.178,60.1244,92.5326,72.9505,49.4369
CC24_323f,Immigration,binary,% Supporting,Forgive up to $20k of student loan debt per person,54.1862,33.8423,49.7259,44.534,76.6072,53.7856,87.7596,63.456,81.1668,52.3995,75.0767,52.2573,45.102
CC24_340f,Immigration,binary,% Supporting,Deny asylum for illegal border crossings,63.1681,93.1337,72.9228,74.5332,39.5144,68.3783,19.7458,60.7777,34.444,60.9855,39.5431,64.164,69.5806
CC24_321a,Police & Guns,binary,% Supporting,Ban assault rifles,59.5554,47.4588,58.6396,50.1545,75.0165,61.6635,87.0505,69.7293,86.2003,46.905,72.025,54.0129,40.3703
CC24_321b,Police & Guns,binary,% Supporting,Easier concealed-carry permits,38.9291,50.8864,39.4372,47.2142,25.6098,36.8206,11.0375,32.1956,13.7324,50.6643,28.3727,44.054,56.334
CC24_321c,Police & Guns,binary,% Supporting,Require background checks on all gun sales,92.5023,94.2064,95.8703,91.6994,95.2433,96.2197,99.0708,96.6577,99.0114,85.0145,93.6184,90.8363,83.4935
CC24_321d,Police & Guns,binary,% Supporting,Increase police by 10%,56.7169,86.6839,69.2962,72.5169,32.6042,64.1548,15.8534,48.2892,33.5104,39.1021,33.1975,61.3596,40.7695
CC24_321e,Police & Guns,binary,% Supporting,"Decrease police by 10%, increase other funding",26.7993,7.4328,18.6448,17.5289,39.3891,21.4786,63.3614,28.0633,37.5751,30.3212,39.3265,23.9491,26.7719
CC24_321f,Police & Guns,binary,% Supporting,Increase spending on mental health & school safety,86.4629,88.0218,90.7282,86.2572,92.5807,91.4335,97.4684,93.1841,97.1854,77.1637,90.8838,86.1349,73.6697
CC24_325,Abortion,continuous,Median,Abortion: how many weeks should it be legal,13.0,10.7538,13.564,11.26,16.342,14.1664,23.0,15.0,21.0,10.75,15.5,11.7769,9.8445
CC24_325,Abortion,continuous,Q25,Abortion: how many weeks should it be legal,6.0,4.0,6.673,4.84,8.6736,7.1248,15.0,7.0,13.0,3.75,8.0,5.1846,2.8445
CC24_325,Abortion,continuous,Q75,Abortion: how many weeks should it be legal,24.0,16.5076,19.9005,18.36,25.0052,20.7288,33.0,22.5,31.0,18.95,24.5,19.7384,17.3201
CC24_324b,Abortion,binary,% Supporting,Permit abortion only in rape/incest/life danger cases,51.3964,69.9137,56.7267,65.9754,43.5335,54.041,25.5511,51.1977,31.3422,58.4199,46.877,63.251,59.07
CC24_340b,Abortion,binary,% Supporting,Prohibit restrictions on abortion access (Congress bill),63.0207,50.6556,63.8734,50.5887,72.9378,66.4356,88.3957,68.3031,85.7783,48.8242,67.9591,51.3576,47.0724
CC24_444c,Abortion,binary,% Supporting,Prohibit abortion-inducing drugs by mail,41.2474,60.1814,45.4804,53.2609,28.2695,42.4201,13.3633,38.7488,17.0643,47.8739,30.9735,49.0251,51.4442
CC24_444d,Abortion,binary,% Supporting,Prohibit women traveling to another state for abortion,18.4855,27.4846,19.026,26.5108,14.4403,17.6508,4.6838,18.4577,6.2916,26.1632,17.2546,26.2434,26.3857
CC24_340c,Civil Liberties,binary,% Supporting,Federal recognition of same-sex & interracial marriages,66.0666,50.8499,69.2708,50.5571,82.1309,72.8921,97.2057,75.8768,96.5979,49.3963,75.1193,51.6694,47.4224
CC24_340d,Civil Liberties,binary,% Supporting,Ban TikTok unless China sells to a US company,55.4871,69.4167,60.6538,59.8131,43.2331,58.4579,32.6484,53.455,48.4248,47.0454,42.5978,54.1387,49.5943
CC24_340e,Civil Liberties,binary,% Supporting,Renew post-9/11 surveillance programs,34.0178,45.3386,41.2611,38.9085,34.3944,40.6047,27.38,41.0432,39.7189,26.2796,33.362,36.3502,24.663
CC24_444a,Civil Liberties,binary,% Supporting,Prevent gender transition surgery for minors,60.1484,75.9226,65.1185,70.5693,52.6462,62.9202,35.2983,60.6065,40.746,68.3454,54.5332,67.4699,71.6491
CC24_444b,Civil Liberties,binary,% Supporting,Parental consent for name/pronoun changes at school,62.7367,81.6424,67.7032,76.243,51.6221,64.7124,28.6754,60.5567,40.1483,73.2535,54.6401,72.4873,77.1382
CC24_444e,Civil Liberties,binary,% Supporting,Age verification for adult web content,78.7779,86.6361,82.6464,83.9672,76.0376,81.6437,67.1789,79.3439,74.0975,78.1793,76.431,82.0754,78.4128
CC24_444f,Civil Liberties,binary,% Supporting,School voucher subsidies,56.1512,68.712,58.9191,66.7071,50.0777,56.9547,39.0789,55.0714,35.4894,65.8944,52.9336,65.1345,67.6978
CC24_326a,Environment & Climate,binary,% Supporting,Give EPA power to regulate CO2 emissions,62.3942,48.3491,61.2959,50.9813,81.6361,65.0284,92.8397,76.1174,92.0113,51.2307,78.0072,55.8091,44.7908
CC24_326b,Environment & Climate,binary,% Supporting,Require 20% renewable electricity,66.1221,53.1721,64.9202,57.9705,85.7403,68.3675,93.6516,78.8868,92.3208,59.9143,83.4219,63.4864,53.224
CC24_326c,Environment & Climate,binary,% Supporting,Strengthen Clean Air/Water Act enforcement (even if it costs jobs),55.1936,37.8158,50.7811,43.5193,72.2662,54.3478,85.088,64.1566,83.7561,46.5158,69.8388,49.197,40.0301
CC24_326d,Environment & Climate,binary,% Supporting,Increase fossil fuel production in the U.S.,56.953,79.5097,63.3784,70.3518,40.9114,59.7128,23.2014,53.3558,31.153,60.8565,43.2097,64.3159,65.2121
CC24_326e,Environment & Climate,binary,% Supporting,Halt new oil and gas leases on federal lands,44.7229,26.7188,40.0978,32.686,60.7297,43.5682,76.6714,52.0991,70.0067,37.3921,58.2291,38.0685,31.9943
CC24_326f,Environment & Climate,binary,% Supporting,Prevent government from banning gas stoves,67.4904,75.7535,70.7976,71.496,61.7101,69.5345,52.8141,66.5445,59.0699,68.8727,61.8186,68.7168,71.5819
CC24_328a,Healthcare & Housing,binary,% Supporting,Relax local zoning laws to allow more apartments/condos,50.2392,45.3442,47.6569,47.0537,54.7939,48.6546,53.9019,53.141,59.026,48.0047,54.6875,49.2276,45.4424
CC24_328b,Healthcare & Housing,binary,% Supporting,Expand federal tax incentives for affordable housing,72.447,64.6458,71.7166,67.7333,84.1944,73.7638,91.3543,79.8859,89.8429,67.2963,82.8753,71.068,62.6029
CC24_328c,Healthcare & Housing,binary,% Supporting,Require able-bodied Medicaid recipients under 64 to work,53.2651,65.4629,58.3931,61.0498,46.1329,56.5116,33.2956,51.6435,42.3661,53.4139,46.9426,57.5732,55.0507
CC24_328d,Healthcare & Housing,binary,% Supporting,Repeal the Affordable Care Act,38.4834,54.3036,41.1557,50.0944,21.176,37.6127,9.3144,28.2262,10.0552,48.6423,24.2789,45.1624,54.7394
CC24_328e,Healthcare & Housing,binary,% Supporting,Expand Medicaid (income <$25k individual / <$40k family),78.6882,71.7028,78.9064,74.3849,90.4209,80.883,96.1119,86.2948,94.4345,75.9982,88.8764,77.3276,72.661
CC24_440a,Racial & Gender,likert5,"Mean (1=Strongly Agree, 5=Strongly Disagree)",White people have certain advantages because of their race,2.6905,3.3239,2.8112,3.0172,2.042,2.6891,1.5866,2.4446,1.7591,2.9155,2.108,2.8054,3.1616
CC24_440a,Racial & Gender,likert5_dist,% Strongly Agree,White people have certain advantages because of their race,29.03,10.3212,21.654,17.5348,37.4968,24.1562,58.44,28.07,48.24,22.003,36.185,21.9181,17.8631
CC24_440a,Racial & Gender,likert5_dist,% Agree,White people have certain advantages because of their race,22.83,19.2535,25.9329,20.7522,35.5189,27.725,30.015,32.435,35.735,20.995,33.685,22.9766,18.0793
CC24_440a,Racial & Gender,likert5_dist,% Neither,White people have certain advantages because of their race,18.04,25.5847,20.7505,25.7748,17.1207,19.755,7.585,18.63,10.425,23.554,19.0,25.4199,23.1411
CC24_440a,Racial & Gender,likert5_dist,% Disagree,White people have certain advantages because of their race,10.27,17.3858,12.9746,14.3236,5.0294,11.7939,2.375,8.705,3.085,10.3335,5.41,12.0113,11.8602
CC24_440a,Racial & Gender,likert5_dist,% Strongly Disagree,White people have certain advantages because of their race,19.83,27.451,18.6925,21.6104,4.8376,16.5751,1.59,12.16,2.52,23.109,5.72,17.6682,29.0527
CC24_440b,Racial & Gender,likert5,"Mean (1=Strongly Agree, 5=Strongly Disagree)","Racial problems in the U.S. are rare, isolated situations",3.4832,2.9973,3.4191,3.2049,3.9066,3.5052,4.4051,3.597,4.2222,3.2458,3.8323,3.3258,3.0985
CC24_440b,Racial & Gender,likert5_dist,% Strongly Agree,"Racial problems in the U.S. are rare, isolated situations",9.59,11.3536,7.479,9.6646,3.2054,6.6928,0.845,5.88,0.915,11.417,3.975,8.6532,13.4924
CC24_440b,Racial & Gender,likert5_dist,% Agree,"Racial problems in the U.S. are rare, isolated situations",17.26,27.2086,19.2369,22.0542,8.894,17.5901,3.575,15.695,4.5,19.2715,9.8,19.213,22.0007
CC24_440b,Racial & Gender,likert5_dist,% Neither,"Racial problems in the U.S. are rare, isolated situations",17.16,24.2984,19.8453,24.3808,16.6225,18.9537,7.085,18.11,10.585,23.8775,18.32,24.0776,24.0858
CC24_440b,Racial & Gender,likert5_dist,% Disagree,"Racial problems in the U.S. are rare, isolated situations",27.21,24.6218,30.7689,25.9218,36.6016,32.0346,31.225,33.465,39.46,24.1835,34.83,27.0056,22.0157
CC24_440b,Racial & Gender,likert5_dist,% Strongly Disagree,"Racial problems in the U.S. are rare, isolated situations",28.78,12.5077,22.6644,17.9728,34.6765,24.7239,57.27,26.845,44.545,21.255,33.075,21.0466,18.4117
CC24_440c,Racial & Gender,likert5,"Mean (1=Strongly Agree, 5=Strongly Disagree)",Women seek to gain power by getting control over men,3.5378,3.1489,3.4629,3.1934,3.7217,3.5247,4.3172,3.5761,4.1692,3.0996,3.622,3.2328,3.0084
CC24_440c,Racial & Gender,likert5_dist,% Strongly Agree,Women seek to gain power by getting control over men,7.14,8.8734,5.6556,8.146,4.0304,5.185,1.13,5.89,1.475,10.9395,4.965,8.0254,12.2271
CC24_440c,Racial & Gender,likert5_dist,% Agree,Women seek to gain power by getting control over men,15.54,21.3709,16.4157,20.0486,11.5264,15.3992,4.645,14.275,5.81,21.017,12.845,19.0717,22.7302
CC24_440c,Racial & Gender,likert5_dist,% Neither,Women seek to gain power by getting control over men,26.67,32.9329,30.5454,34.6216,28.2242,29.8195,16.01,27.49,19.215,33.8295,29.76,34.532,33.6321
CC24_440c,Racial & Gender,likert5_dist,% Disagree,Women seek to gain power by getting control over men,17.71,19.6431,20.7418,18.6942,20.6882,20.9466,17.805,21.04,21.31,15.5735,19.895,18.3513,14.7821
CC24_440c,Racial & Gender,likert5_dist,% Strongly Disagree,Women seek to gain power by getting control over men,32.94,17.1797,26.6415,18.4896,35.5308,28.6497,60.41,31.305,52.185,18.636,32.535,20.0196,16.6222
CC24_440d,Racial & Gender,likert5,"Mean (1=Strongly Agree, 5=Strongly Disagree)",Women are too easily offended,3.2044,2.6966,3.0897,2.8045,3.5267,3.1765,4.1547,3.3121,3.9489,2.8265,3.4241,2.898,2.7086
CC24_440d,Racial & Gender,likert5_dist,% Strongly Agree,Women are too easily offended,12.16,16.1892,11.0045,14.2802,5.7413,9.9759,1.855,9.065,2.495,15.9305,6.915,13.1275,18.1562
CC24_440d,Racial & Gender,likert5_dist,% Agree,Women are too easily offended,22.7,32.4274,25.6235,29.6422,16.7923,24.0505,8.775,21.165,10.83,27.029,18.19,27.4729,28.9161
CC24_440d,Racial & Gender,likert5_dist,% Neither,Women are too easily offended,23.45,26.8008,26.0412,29.2172,26.164,25.7287,15.6,24.37,19.765,29.4435,27.395,29.7617,28.797
CC24_440d,Racial & Gender,likert5_dist,% Disagree,Women are too easily offended,15.93,14.6902,18.0532,15.0664,21.6712,18.8363,19.58,20.305,23.125,13.6545,20.58,15.7418,12.1713
CC24_440d,Racial & Gender,likert5_dist,% Strongly Disagree,Women are too easily offended,25.76,9.8925,19.2776,11.794,29.6312,21.4086,54.185,25.095,43.79,13.9425,26.92,13.8961,11.9595
CC24_441a,Racial & Gender,likert5,"Mean (1=Strongly Agree, 5=Strongly Disagree)",Minorities should work their way up without special favors,2.7418,1.9919,2.556,2.284,3.2504,2.6751,3.9602,2.8291,3.6392,2.4665,3.1576,2.4616,2.2994
CC24_441a,Racial & Gender,likert5_dist,% Strongly Agree,Minorities should work their way up without special favors,27.84,41.8867,28.7068,34.0288,11.222,25.865,4.14,21.83,6.455,30.562,12.97,29.3147,35.5531
CC24_441a,Racial & Gender,likert5_dist,% Agree,Minorities should work their way up without special favors,20.7,29.9677,24.2469,26.6718,17.2316,23.0768,9.28,21.805,12.995,22.6875,18.045,24.8265,23.5839
CC24_441a,Racial & Gender,likert5_dist,% Neither,Minorities should work their way up without special favors,19.78,19.0479,21.9171,24.1524,28.7732,22.5843,18.195,23.83,21.725,27.362,29.76,26.6887,25.2178
CC24_441a,Racial & Gender,likert5_dist,% Disagree,Minorities should work their way up without special favors,12.79,5.2645,13.0073,7.1768,20.8218,14.6345,23.185,16.685,27.82,8.3115,18.705,8.7344,6.6581
CC24_441a,Racial & Gender,likert5_dist,% Strongly Disagree,Minorities should work their way up without special favors,18.89,3.8332,12.1219,7.9702,21.9514,13.8394,45.2,15.85,31.005,11.077,20.52,10.4358,8.9871
CC24_441b,Racial & Gender,likert5,"Mean (1=Strongly Agree, 5=Strongly Disagree)",Slavery/discrimination makes it hard for Blacks to rise,2.9061,3.5804,3.0829,3.2974,2.3124,2.9598,1.763,2.6871,2.0025,3.0942,2.3817,3.0865,3.2982
CC24_441b,Racial & Gender,likert5_dist,% Strongly Agree,Slavery/discrimination makes it hard for Blacks to rise,24.54,8.2342,17.3322,13.0212,30.2481,19.4707,52.835,23.595,40.255,16.8585,28.81,16.4431,13.7671
CC24_441b,Racial & Gender,likert5_dist,% Agree,Slavery/discrimination makes it hard for Blacks to rise,21.68,16.5495,23.1013,18.1794,32.6445,24.8611,29.31,29.495,35.65,19.739,30.91,20.4314,17.3159
CC24_441b,Racial & Gender,likert5_dist,% Neither,Slavery/discrimination makes it hard for Blacks to rise,15.46,17.5492,17.1342,21.501,19.8521,17.0386,9.79,16.865,12.145,24.311,21.59,23.0603,23.3294
CC24_441b,Racial & Gender,likert5_dist,% Disagree,Slavery/discrimination makes it hard for Blacks to rise,15.3,24.2742,18.8103,20.6288,10.121,17.4835,4.845,14.685,7.485,15.2925,10.67,18.1546,16.4968
CC24_441b,Racial & Gender,likert5_dist,% Strongly Disagree,Slavery/discrimination makes it hard for Blacks to rise,23.02,33.3891,23.622,26.6696,7.1342,21.1461,3.22,15.355,4.465,23.799,8.02,21.9107,29.0907
CC24_441e,Racial & Gender,likert5,"Mean (1=Strongly Agree, 5=Strongly Disagree)",I resent when Whites deny racial discrimination exists,2.1841,2.536,2.319,2.457,1.9243,2.253,1.5969,2.0411,1.6749,2.4733,1.9707,2.3534,2.6202
CC24_441e,Racial & Gender,likert5_dist,% Strongly Agree,I resent when Whites deny racial discrimination exists,41.59,28.207,34.1246,29.343,45.537,36.1147,62.85,43.335,57.8,30.3555,43.89,32.2118,26.8766
CC24_441e,Racial & Gender,likert5_dist,% Agree,I resent when Whites deny racial discrimination exists,21.07,21.0837,22.0854,20.9684,25.3638,22.6306,19.73,25.43,23.2,21.4635,24.99,21.8333,20.491
CC24_441e,Racial & Gender,likert5_dist,% Neither,I resent when Whites deny racial discrimination exists,23.23,30.9566,29.1284,32.8892,22.7829,27.9078,13.92,21.09,14.98,29.433,24.125,31.4694,29.9654
CC24_441e,Racial & Gender,likert5_dist,% Disagree,I resent when Whites deny racial discrimination exists,5.57,8.4014,7.0667,8.2374,3.7559,6.5117,1.86,4.08,1.725,7.9975,4.15,7.3707,9.075
CC24_441e,Racial & Gender,likert5_dist,% Strongly Disagree,I resent when Whites deny racial discrimination exists,8.54,11.345,7.5894,8.5562,2.5604,6.8303,1.635,6.065,2.29,10.7505,2.845,7.1106,13.592
CC24_441f,Racial & Gender,likert5,"Mean (1=Strongly Agree, 5=Strongly Disagree)",Whites get away with offenses that African Americans wouldn't,2.2467,2.7633,2.4561,2.5616,1.8899,2.371,1.5631,2.1341,1.7006,2.4536,1.9206,2.3983,2.6313
CC24_441f,Racial & Gender,likert5_dist,% Strongly Agree,Whites get away with offenses that African Americans wouldn't,41.13,26.8926,33.5347,30.6064,45.2495,35.3727,62.505,40.48,55.96,33.1605,44.325,33.8663,29.7721
CC24_441f,Racial & Gender,likert5_dist,% Agree,Whites get away with offenses that African Americans wouldn't,23.28,20.3148,23.318,21.2684,30.3135,24.4468,23.995,29.01,26.84,22.638,29.645,23.1671,20.6169
CC24_441f,Racial & Gender,likert5_dist,% Neither,Whites get away with offenses that African Americans wouldn't,17.45,22.1726,21.1833,24.4756,17.7375,20.3912,9.985,15.705,11.43,23.8775,18.95,23.9036,24.4117
CC24_441f,Racial & Gender,likert5_dist,% Disagree,Whites get away with offenses that African Americans wouldn't,6.08,10.8166,7.9399,8.6656,3.6112,7.2976,1.71,6.25,2.73,6.346,3.815,7.4044,7.1211
CC24_441f,Racial & Gender,likert5_dist,% Strongly Disagree,Whites get away with offenses that African Americans wouldn't,12.06,19.8072,14.0285,14.984,3.0949,12.4969,1.805,8.565,3.045,13.9825,3.27,11.6586,18.0844
CC24_441g,Racial & Gender,likert5,"Mean (1=Strongly Agree, 5=Strongly Disagree)",Whites don't understand the problems African Americans face,2.4054,2.793,2.5649,2.6081,2.1643,2.508,1.8563,2.3792,2.0445,2.5697,2.1739,2.4875,2.7176
CC24_441g,Racial & Gender,likert5_dist,% Strongly Agree,Whites don't understand the problems African Americans face,30.07,19.4282,23.1356,23.5614,31.9534,24.247,46.4,27.745,36.98,26.426,32.275,26.4336,23.6878
CC24_441g,Racial & Gender,likert5_dist,% Agree,Whites don't understand the problems African Americans face,25.71,23.2161,25.5503,23.0394,30.3658,26.4411,27.885,30.09,32.1,21.927,29.48,24.1714,19.9458
CC24_441g,Racial & Gender,likert5_dist,% Neither,Whites don't understand the problems African Americans face,27.04,30.1503,32.3726,32.6994,29.8092,32.0029,21.175,26.255,23.185,31.687,29.89,31.9361,32.3136
CC24_441g,Racial & Gender,likert5_dist,% Disagree,Whites don't understand the problems African Americans face,7.99,13.0458,9.5715,10.4338,5.0174,8.8855,2.76,8.3,4.945,8.162,5.27,9.1226,9.024
CC24_441g,Racial & Gender,likert5_dist,% Strongly Disagree,Whites don't understand the problems African Americans face,9.19,14.1559,9.3701,10.2618,2.851,8.4235,1.78,7.605,2.79,11.7925,3.08,8.3303,15.0251
CC24_445a,Racial & Gender,binary_agree,% Agreeing,SCOTUS: Race in admissions violates Equal Protection (Agree/Disagree),67.4348,82.8834,71.8262,79.1438,60.8192,69.6268,43.0705,67.6402,48.6324,76.854,63.4546,76.8075,79.0975
CC24_445b,Racial & Gender,binary_agree,% Agreeing,SCOTUS: Constitution doesn't protect abortion; Roe overruled (Agree/Disagree),53.2276,73.8853,58.0143,67.6093,37.92,54.3885,20.8371,47.9865,24.221,62.7686,41.2748,62.7452,67.4101
CC24_421_1,Elections & Trust,likert5,"Mean (1=Strongly Agree, 5=Strongly Disagree)",Elections in the U.S. are fair,2.3653,2.0463,2.3796,2.6596,2.5991,2.3794,2.8114,1.9357,1.8918,3.0633,2.7114,2.7739,3.0709
CC24_421_1,Elections & Trust,likert5_dist,% Strongly Agree,Elections in the U.S. are fair,25.05,30.4917,15.9201,11.6936,15.6402,16.3207,11.45,38.685,43.2,7.483,14.0,10.932,6.8202
CC24_421_1,Elections & Trust,likert5_dist,% Agree,Elections in the U.S. are fair,37.79,44.7313,47.1021,40.3332,37.4654,46.5396,35.845,39.135,34.99,28.4195,34.675,36.1911,29.2363
CC24_421_1,Elections & Trust,likert5_dist,% Neither,Elections in the U.S. are fair,18.62,15.6441,22.5818,25.987,25.6725,22.6346,22.12,13.83,13.085,29.41,27.045,27.5119,28.7218
CC24_421_1,Elections & Trust,likert5_dist,% Disagree,Elections in the U.S. are fair,12.63,7.9125,11.8789,14.2682,13.7768,11.8804,21.31,6.63,6.885,19.632,14.735,15.252,20.4578
CC24_421_1,Elections & Trust,likert5_dist,% Strongly Disagree,Elections in the U.S. are fair,5.9,1.2204,2.5215,7.7096,7.4451,2.63,9.285,1.725,1.84,15.04,9.54,10.1011,14.7502
CC24_421_2,Elections & Trust,likert5,"Mean (1=Strongly Agree, 5=Strongly Disagree)",2024 state/local election was fair,1.9098,1.5321,1.8501,2.247,2.1828,1.8526,2.1818,1.4499,1.4367,2.8178,2.3422,2.416,2.8186
CC24_421_2,Elections & Trust,likert5_dist,% Strongly Agree,2024 state/local election was fair,45.45,59.1825,34.7851,26.069,25.8463,34.5155,22.335,64.84,66.16,12.01,22.315,21.839,12.0824
CC24_421_2,Elections & Trust,likert5_dist,% Agree,2024 state/local election was fair,29.21,29.0098,45.9976,37.341,40.8754,46.222,46.775,25.385,24.065,28.372,37.435,34.3344,28.8356
CC24_421_2,Elections & Trust,likert5_dist,% Neither,2024 state/local election was fair,17.39,11.2345,18.6626,26.7198,25.8399,18.7695,23.59,9.725,9.725,35.849,29.085,30.2847,34.6936
CC24_421_2,Elections & Trust,likert5_dist,% Disagree,2024 state/local election was fair,4.8,0.5608,0.5436,5.5746,4.056,0.4834,5.0,0.05,0.05,13.389,6.065,7.4923,13.9359
CC24_421_2,Elections & Trust,likert5_dist,% Strongly Disagree,2024 state/local election was fair,3.15,0.0125,0.0111,4.2998,3.3856,0.0096,2.305,0.0,0.0,10.3855,5.105,6.0555,10.4561
CC24_423,Elections & Trust,trust,Weighted mean,Trust in federal government (1=Great deal … 4=None at all),2.7066,2.5455,2.6857,2.7447,2.64,2.6736,2.8053,2.396,2.4991,2.8774,2.662,2.7395,2.9378
CC24_423,Elections & Trust,trust_dist,% Great deal,Trust in federal government (1=Great deal … 4=None at all),6.11,9.9116,4.5043,4.137,5.9612,4.7332,3.61,13.64,8.495,4.402,5.845,4.5419,3.9601
CC24_423,Elections & Trust,trust_dist,% Fair amount,Trust in federal government (1=Great deal … 4=None at all),31.94,35.3841,33.5794,31.3978,36.3448,34.1674,28.015,41.015,41.73,25.6885,35.55,31.9302,22.6696
CC24_423,Elections & Trust,trust_dist,% Not very much,Trust in federal government (1=Great deal … 4=None at all),47.11,44.945,50.7442,50.3234,45.4127,50.089,52.605,37.435,41.13,47.6795,45.155,48.5608,49.0033
CC24_423,Elections & Trust,trust_dist,% None at all,Trust in federal government (1=Great deal … 4=None at all),14.83,9.7593,11.1677,14.1418,12.2746,11.0051,15.765,7.905,8.64,22.23,13.445,14.9671,24.367
CC24_424,Elections & Trust,trust,Weighted mean,Trust in state government (1=Great deal … 4=None at all),2.4493,2.2559,2.3998,2.5158,2.4816,2.3985,2.6032,2.1978,2.2562,2.7613,2.5279,2.5603,2.7998
CC24_424,Elections & Trust,trust_dist,% Great deal,Trust in state government (1=Great deal … 4=None at all),12.9,18.7774,12.1278,10.248,10.0345,12.048,8.15,20.265,16.465,5.695,9.27,9.2831,5.1698
CC24_424,Elections & Trust,trust_dist,% Fair amount,Trust in state government (1=Great deal … 4=None at all),42.36,44.6294,45.1093,41.1776,43.436,45.2968,38.915,46.08,48.64,34.292,41.885,40.0197,33.0895
