state_fips,state_abbr,finalist_code,finalist_party,first_choice_pct,inc_CON,inc_OAO,inc_CUP,inc_POP,inc_LIB,inc_DSA,inc_LBR,inc_PRG,inc_NAT
29,MO,CON_1,CON,23.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.13
29,MO,CUP_1,CUP,8.43,2.71,1.68,0.0,1.05,4.7,0.54,0.0,0.0,0.0
29,MO,LBR_1,LBR,17.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,MO,LIB_1,LIB,7.71,0.53,0.85,0.0,0.0,0.0,9.63,0.0,2.49,0.0
29,MO,POP_1,POP,13.83,3.86,0.0,0.0,0.0,0.0,0.0,0.56,0.0,1.63
30,MT,CON_1,CON,16.5,0.0,0.0,4.19,0.0,0.0,0.0,0.0,0.0,3.43
30,MT,LBR_1,LBR,16.83,0.0,0.0,3.62,0.0,1.09,0.0,0.0,0.0,0.0
30,MT,LIB_1,LIB,13.77,0.0,0.96,0.0,0.0,0.0,0.0,0.0,3.88,0.0
30,MT,NAT_1,NAT,21.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,MT,POP_1,POP,10.72,1.41,0.0,2.09,0.0,0.0,4.07,0.0,0.0,1.18
31,NE,CON_1,CON,18.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,NE,CUP_1,CUP,13.85,0.55,1.21,0.0,0.0,0.0,0.0,0.0,0.0,9.94
31,NE,LBR_1,LBR,18.91,0.0,0.0,0.0,0.0,0.0,8.87,0.0,0.0,0.0
31,NE,LIB_1,LIB,6.96,0.0,1.27,8.82,0.0,0.0,2.45,0.74,2.34,0.0
31,NE,POP_1,POP,14.13,0.77,1.7,0.0,0.0,0.0,0.0,0.58,0.0,0.0
32,NV,CON_1,CON,20.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.49
32,NV,LBR_1,LBR,22.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,NV,LBR_2,LBR,0.0,0.0,1.24,7.68,0.0,1.41,4.29,5.44,0.59,0.0
32,NV,LIB_1,LIB,9.92,0.0,2.42,0.0,0.0,0.0,0.0,0.0,6.16,0.0
32,NV,POP_1,POP,14.62,2.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.34
33,NH,CON_1,CON,12.31,0.0,0.0,3.29,0.0,0.0,0.0,0.0,0.0,2.68
33,NH,DSA_1,DSA,11.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.97,0.0
33,NH,LBR_1,LBR,19.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,NH,LIB_1,LIB,9.53,0.0,14.62,1.24,0.0,0.0,1.32,0.68,3.61,0.0
33,NH,POP_1,POP,7.97,1.08,0.0,5.57,0.0,0.0,0.0,0.0,0.0,3.87
34,NJ,CON_1,CON,18.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,NJ,CUP_1,CUP,9.02,0.0,3.03,0.0,7.17,1.34,0.0,0.68,0.0,1.28
34,NJ,LBR_1,LBR,16.13,0.0,0.0,0.0,0.0,0.0,5.87,0.0,0.56,0.0
34,NJ,LIB_1,LIB,13.17,0.0,3.16,0.0,0.0,0.0,0.0,2.12,8.7,0.0
34,NJ,POP_1,POP,11.13,0.74,1.21,0.0,0.0,0.0,0.0,2.01,0.0,8.77
35,NM,CON_1,CON,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,NM,LBR_1,LBR,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,NM,LBR_2,LBR,0.0,0.0,0.0,0.0,0.0,0.0,4.22,12.03,0.0,0.0
35,NM,LIB_1,LIB,8.87,0.0,0.93,15.45,0.0,0.0,0.0,0.0,6.69,0.0
35,NM,POP_1,POP,10.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.54
36,NY,CON_1,CON,15.83,0.0,2.24,0.0,0.0,0.0,0.0,0.0,0.0,7.87
36,NY,CUP_1,CUP,8.38,3.84,2.59,0.0,0.0,7.26,0.0,0.0,0.0,0.0
36,NY,LBR_1,LBR,19.47,0.0,2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,NY,LIB_1,LIB,11.49,0.0,1.65,0.0,0.0,0.0,3.06,0.56,8.95,0.0
36,NY,POP_1,POP,12.73,0.0,0.0,0.0,0.0,0.0,3.87,0.87,0.0,0.0
37,NC,CON_1,CON,23.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.49
37,NC,CUP_1,CUP,8.21,1.55,5.01,0.0,0.74,3.64,0.0,0.0,0.0,0.0
37,NC,LBR_1,LBR,15.75,0.0,0.0,0.0,0.0,0.0,5.34,0.0,0.0,0.0
37,NC,LIB_1,LIB,8.13,0.0,3.69,0.0,0.0,0.0,0.0,1.17,7.19,0.0
37,NC,POP_1,POP,13.14,3.52,0.0,0.0,0.0,0.0,0.0,2.11,0.0,3.15
38,ND,CON_1,CON,23.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,ND,CUP_1,CUP,14.58,0.0,2.02,0.0,0.0,1.15,0.0,0.0,0.0,0.0
38,ND,LBR_1,LBR,19.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,ND,LIB_1,LIB,8.52,0.0,2.57,0.0,0.0,0.0,2.44,0.89,4.69,0.0
38,ND,POP_1,POP,15.91,12.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,OH,CON_1,CON,23.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.07
39,OH,CUP_1,CUP,10.73,5.56,2.53,0.0,0.0,0.0,0.0,0.64,0.0,0.0
39,OH,LBR_1,LBR,15.13,0.0,1.01,0.0,0.0,0.0,6.12,0.0,0.0,0.0
39,OH,LIB_1,LIB,9.2,0.61,0.91,1.86,0.0,0.0,1.11,1.69,2.95,0.0
39,OH,POP_1,POP,13.94,0.0,0.0,0.0,0.0,0.0,0.0,2.81,0.0,1.45
40,OK,CON_1,CON,23.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,OK,CUP_1,CUP,11.24,3.15,3.8,0.0,0.0,1.57,0.0,0.0,0.0,0.0
40,OK,LBR_1,LBR,12.62,0.0,0.0,0.69,0.0,10.45,6.21,0.0,0.0,0.0
40,OK,NAT_1,NAT,16.57,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,OK,POP_1,POP,12.95,3.13,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.65
41,OR,CON_1,CON,12.75,0.0,0.68,3.38,0.0,0.0,0.0,0.0,0.0,0.0
41,OR,LBR_1,LBR,15.07,0.0,0.0,1.63,0.0,0.0,8.58,0.0,0.0,0.0
41,OR,LIB_1,LIB,14.55,0.0,1.62,0.0,1.72,0.0,0.0,0.0,0.0,5.33
41,OR,NAT_1,NAT,14.66,0.0,0.0,0.0,7.82,0.0,0.0,0.0,0.0,0.0
41,OR,PRG_1,PRG,14.84,0.0,0.0,0.0,0.0,3.06,1.28,0.0,0.0,0.0
42,PA,CON_1,CON,21.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.58
42,PA,CUP_1,CUP,6.92,0.96,3.67,0.0,0.73,1.02,0.0,0.0,9.17,0.0
42,PA,LBR_1,LBR,17.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,PA,LIB_1,LIB,13.3,0.0,1.87,0.0,0.0,0.0,3.01,0.0,0.0,0.0
42,PA,POP_1,POP,9.76,3.07,1.76,0.0,0.0,0.0,2.97,0.0,0.0,4.07
44,RI,CON_1,CON,16.59,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0
44,RI,LBR_1,LBR,18.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,RI,LIB_1,LIB,16.02,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
44,RI,OAO_1,OAO,6.52,0.0,0.0,1.28,4.72,0.0,3.54,0.0,14.22,0.0
44,RI,POP_1,POP,14.1,0.0,0.0,0.76,0.0,0.85,0.0,0.0,0.0,6.08
45,SC,CON_1,CON,23.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.17
45,SC,CUP_1,CUP,7.68,2.6,2.52,0.0,0.65,2.39,2.6,0.0,0.0,0.0
45,SC,LBR_1,LBR,21.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,SC,LIB_1,LIB,8.0,0.0,0.62,0.0,0.0,0.0,8.01,1.06,1.17,0.0
45,SC,POP_1,POP,11.71,4.62,0.0,0.0,0.0,0.0,0.0,1.55,0.0,2.46
46,SD,CON_1,CON,18.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,SD,CUP_1,CUP,13.05,0.63,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,SD,LBR_1,LBR,11.01,0.0,0.97,1.15,0.0,0.0,6.05,0.0,0.0,0.0
46,SD,LIB_1,LIB,7.14,0.0,1.52,0.0,0.0,0.0,1.8,2.49,2.74,14.13
46,SD,POP_1,POP,18.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,TN,CON_1,CON,30.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,TN,CON_2,CON,0.0,13.74,1.91,0.81,15.72,0.0,0.0,0.0,0.0,0.0
47,TN,CUP_1,CUP,8.86,0.0,4.44,0.0,0.0,0.94,0.0,4.03,0.0,0.0
47,TN,LBR_1,LBR,11.59,0.0,0.69,0.0,0.0,4.05,8.38,0.0,0.0,0.0
47,TN,NAT_1,NAT,16.65,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0
48,TX,CON_1,CON,22.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.02
48,TX,CUP_1,CUP,11.45,1.87,4.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,TX,LBR_1,LBR,20.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,TX,LIB_1,LIB,7.48,0.0,0.92,0.0,0.84,0.0,9.38,0.81,1.36,0.0
48,TX,POP_1,POP,11.84,2.68,1.37,1.3,0.0,0.0,0.0,2.1,0.0,1.67
49,UT,CON_1,CON,16.21,0.0,1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,UT,CUP_1,CUP,9.4,0.0,1.63,0.0,3.04,0.68,0.0,1.15,0.0,2.46
49,UT,LBR_1,LBR,25.17,0.0,0.0,0.0,0.0,0.0,13.44,0.0,0.0,0.0
49,UT,LBR_2,LBR,0.0,0.0,0.68,0.0,3.85,5.57,0.0,8.24,0.0,0.0
49,UT,POP_1,POP,16.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.57
50,VT,CON_1,CON,12.16,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,4.13
50,VT,LBR_1,LBR,14.54,0.0,0.0,0.0,0.0,0.0,5.11,0.0,0.0,0.0
50,VT,LIB_1,LIB,13.24,0.0,1.54,0.0,2.89,0.0,0.0,0.61,0.0,0.0
50,VT,POP_1,POP,6.46,1.56,8.68,3.31,0.0,0.0,0.0,0.65,0.0,0.0
50,VT,PRG_1,PRG,28.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,VA,CON_1,CON,20.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.96
51,VA,CUP_1,CUP,7.44,1.4,2.67,0.0,1.02,7.68,0.0,0.88,0.0,0.0
51,VA,LBR_1,LBR,20.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,VA,LIB_1,LIB,9.45,0.0,1.04,0.0,0.0,0.0,2.54,0.88,10.22,0.0
51,VA,POP_1,POP,11.76,1.38,1.49,0.0,0.0,0.0,2.39,1.44,0.0,2.17
53,WA,CON_1,CON,13.97,0.0,2.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,WA,CUP_1,CUP,8.43,0.0,2.62,0.0,2.49,3.74,1.61,0.0,0.0,0.0
53,WA,LBR_1,LBR,16.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0
53,WA,LIB_1,LIB,12.95,0.0,1.83,0.0,0.0,0.0,7.43,0.0,11.44,0.0
53,WA,NAT_1,NAT,9.89,0.0,0.0,1.2,5.97,0.0,0.6,0.0,0.0,0.0
54,WV,CON_1,CON,20.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.48
54,WV,CUP_1,CUP,12.57,1.2,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,WV,LBR_1,LBR,20.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,WV,LIB_1,LIB,5.7,0.0,0.56,3.94,0.0,0.0,4.41,0.83,1.75,0.0
54,WV,POP_1,POP,15.73,0.0,0.0,0.0,0.0,0.0,0.0,1.86,0.0,0.0
55,WI,CON_1,CON,22.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.74
55,WI,CUP_1,CUP,6.56,1.22,8.12,0.0,1.53,2.81,0.0,0.0,0.0,0.0
55,WI,LBR_1,LBR,14.88,0.0,0.0,0.0,0.0,0.0,5.77,0.0,0.0,0.0
55,WI,LIB_1,LIB,9.77,0.0,0.0,0.0,0.0,0.0,0.0,1.23,8.27,0.0
55,WI,POP_1,POP,14.32,4.0,0.0,0.0,0.0,0.0,0.0,1.91,0.0,3.79
56,WY,CON_1,CON,29.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,WY,CON_2,CON,0.0,11.32,0.0,0.0,1.04,0.0,0.0,0.0,0.0,9.16
56,WY,CUP_1,CUP,9.11,3.15,2.32,0.0,2.45,1.07,0.0,0.0,0.0,0.0
56,WY,LBR_1,LBR,10.28,0.0,3.02,0.0,0.57,13.02,0.83,0.0,0.0,0.0
56,WY,POP_1,POP,21.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
